FOG	HOG	Protein ID	sce Locus	Features	Protein description	Parent	Neofunc, Subfunct	References	Source	Suggested Analysis	SGD Description	PomBase Description	AspGD Description
FOG00056	HOG00041	RPL40	RPL40A;RPL40B		RPL40 Large ribosome protein subunit; not present in all yeasts						Ubiquitin-ribosomal 60S subunit protein L40A fusion protein; cleaved to yield ubiquitin and ribosomal protein L40A; ubiquitin may facilitate assembly of the ribosomal protein into ribosomes; homologous to mammalian ribosomal protein L40, no bacterial homolog; RPL40A has a paralog, RPL40B, that arose from the whole genome duplication; relative distribution to the nucleus increases upon DNA replication stress|Ubiquitin-ribosomal 60S subunit protein L40B fusion protein; cleaved to yield ubiquitin and ribosomal protein L40B; ubiquitin may facilitate assembly of the ribosomal protein into ribosomes; homologous to mammalian ribosomal protein L40, no bacterial homolog; RPL40B has a paralog, RPL40A, that arose from the whole genome duplication	ribosomal-ubiquitin fusion protein Ubi1 (predicted)|ribosomal-ubiquitin fusion protein Ubi2	Cytoplasmic ubiquitin / ribosomal fusion protein
FOG00057	HOG00041	RS27	RPS31		RS27 Small ribosome protein subunit						Fusion protein cleaved to yield ribosomal protein S31 and ubiquitin; ubiquitin may facilitate assembly of the ribosomal protein into ribosomes; interacts genetically with translation factor eIF2B; homologous to mammalian ribosomal protein S27A, no bacterial homolog	ribosomal-ubiquitin fusion protein Ubi3 (predicted)|ribosomal-ubiquitin fusion protein Ubi5 (predicted)	Protein similar to ubiquitin UBI1 of A. nidulans
FOG00058	HOG00041	UBI4	UBI4		Essential for the cellular stress response						Ubiquitin; becomes conjugated to proteins, marking them for selective degradation via the ubiquitin-26S proteasome system; essential for the cellular stress response; encoded as a polyubiquitin precursor comprised of 5 head-to-tail repeats; protein abundance increases in response to DNA replication stress	ubiquitin	Ortholog of A. nidulans FGSC A4 : AN2000/ubi4, A. fumigatus Af293 : Afu4g10350/ubiD, A. oryzae RIB40 : AO090003001182/ubiB, Aspergillus wentii : Aspwe1_0047475 and Aspergillus sydowii : Aspsy1_0053937
FOG00059	HOG00041	RUB1	RUB1		Ubiquitin-like protein with similarity to mammalian NEDD8						Ubiquitin-like protein with similarity to mammalian NEDD8; conjugation (neddylation) substrates include the cullins Cdc53p, Rtt101p, and Cul3p; activated by Ula1p and Uba3p (E1 enzyme pair); conjugation mediated by Ubc12p (E2 enzyme)	ubiquitin-like protein modifier Ned8	Putative ubiquitin-like protein; repressed by growth on starch and lactate
FOG00060	HOG00041	CUZ1	CUZ1		Protein with a role in the ubiquitin-proteasome pathway						Protein with a role in the ubiquitin-proteasome pathway; interacts with ubiquitinated protein, Cdc48p and the proteasomal regulatory particle; may protect cells from trivalent metalloid induced proteotoxicity; contains a PACE promoter element and is co-regulated with proteasome subunit genes; AN1-type zinc finger protein, with DHHC and ubiquitin-like domains (UBL); ortholog of ZFAND1, a human gene linked to cancer; protein abundance increases under DNA replication stress		
FOG00061	HOG00041	TMC1	TMC1		AN1-type zinc finger protein of unknown function						AN1-type zinc finger protein of unknown function; may protect cells from trivalent metalloid induced proteotoxicity; contains a PACE promoter element, a transcriptional profile similar to CUZ1 and RPN2, and decreased expression in an RPN4 mutant; induced by nitrogen limitation and weak acid; ortholog of human AIRAP, which stimulates proteasome activity in response to arsenic; protein abundance increases in response to DNA replication stress	zf-AN1 type zinc finger protein	
FOG00062	HOG00041	RRN7	RRN7		RNA polymerase I core factor complex subunit Rrn7				|added via ODB8		Component of the core factor (CF) rDNA transcription factor complex; CF is required for transcription of 35S rRNA genes by RNA polymerase I and is composed of Rrn6p, Rrn7p, and Rrn11p	RNA polymerase I core factor complex subunit Rrn7	Ortholog(s) have role in transcription from RNA polymerase I promoter and RNA polymerase I transcription factor complex, cytosol localization
FOG00064	HOG00042	RPL41A	RPL41A		RPL41A Large ribosome protein subunit						Ribosomal 60S subunit protein L41A; comprises only 25 amino acids; rpl41a rpl41b double null mutant is viable; homologous to mammalian ribosomal protein L41, no bacterial homolog; RPL41A has a paralog, RPL41B, that arose from the whole genome duplication		
FOG00065	HOG00043	RPL41B	RPL41B		RPL41B Large ribosome protein subunit						Ribosomal 60S subunit protein L41B; comprises only 25 amino acids; rpl41a rpl41b double null mutant is viable; homologous to mammalian ribosomal protein L41, no bacterial homolog; RPL41B has a paralog, RPL41A, that arose from the whole genome duplication		
FOG00066	HOG00044	RPL42	RPL42A;RPL42B		RPL42 Large ribosome protein subunit						Ribosomal 60S subunit protein L42A; homologous to mammalian ribosomal protein L36A, no bacterial homolog; RPL42A has a paralog, RPL42B, that arose from the whole genome duplication|Ribosomal 60S subunit protein L42B; required for propagation of the killer toxin-encoding M1 double-stranded RNA satellite of the L-A double-stranded RNA virus; homologous to mammalian ribosomal protein L36A, no bacterial homolog; RPL42B has a paralog, RPL42A, that arose from the whole genome duplication	60S ribosomal protein L36/L42	Ortholog(s) have cytosolic large ribosomal subunit localization
FOG00067	HOG00045	RPL43	RPL43A;RPL43B		RPL43 Large ribosome protein subunit						Ribosomal 60S subunit protein L43A; null mutation confers a dominant lethal phenotype; homologous to mammalian ribosomal protein L37A, no bacterial homolog; RPL43A has a paralog, RPL43B, that arose from the whole genome duplication|Ribosomal 60S subunit protein L43B; homologous to mammalian ribosomal protein L37A, no bacterial homolog; RPL43B has a paralog, RPL43A, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress	60S ribosomal protein L37a (predicted)	Ortholog(s) have cytosolic large ribosomal subunit localization
FOG00068	HOG00046	RLA0	RPP0		RLA0 Large ribosome protein subunit						Conserved ribosomal protein P0 of the ribosomal stalk; involved in interaction between translational elongation factors and the ribosome; phosphorylated on serine 302; homologous to mammalian ribosomal protein LP0 and bacterial L10	60S acidic ribosomal protein Rpp0 (predicted)	Putative cytoplasmic acidic ribosomal protein P0
FOG00069	HOG00047	RPS0A	RPS0A;RPS0B		RPS0A Small ribosome protein subunit						Ribosomal 40S subunit protein S0A; required for maturation of 18S rRNA along with Rps0Bp; deletion of either RPS0 gene reduces growth rate, deletion of both genes is lethal; homologous to human ribosomal protein SA and bacterial S2; RPS0A has a paralog, RPS0B, that arose from the whole genome duplication;|Protein component of the small (40S) ribosomal subunit; RPS0B has a paralog, RPS0A, that arose from the whole genome duplication; required for maturation of 18S rRNA along with Rps0Ap; deletion of either RPS0 gene reduces growth rate, deletion of both genes is lethal; homologous to human ribosomal protein SA and bacterial S2	40S ribosomal protein S0A (p40)|40S ribosomal protein S0B	Ortholog(s) have structural constituent of ribosome activity
FOG00070	HOG00047				Uncharacterized ohnolog or paralog	ohnolog?:FOG00069	Uncharacterized		added via ODB8				
FOG00071	HOG00048	RPS2	RPS2		RPS2 Small ribosome protein subunit						Protein component of the small (40S) subunit; essential for control of translational accuracy; phosphorylation by C-terminal domain kinase I (CTDK-I) enhances translational accuracy; methylated on one or more arginine residues by Hmt1p; homologous to mammalian ribosomal protein S2 and bacterial S5	40S ribosomal protein S2 (predicted)	Ortholog(s) have small ribosomal subunit rRNA binding, structural constituent of ribosome activity and role in positive regulation of translational fidelity, rRNA export from nucleus
FOG00072	HOG00049		RPS1A;RPS1B		RPS1A Small ribosome protein subunit						Ribosomal protein 10 (rp10) of the small (40S) subunit; homologous to mammalian ribosomal protein S3A, no bacterial homolog; RPS1A has a paralog, RPS1B, that arose from the whole genome duplication|Ribosomal protein 10 (rp10) of the small (40S) subunit; homologous to mammalian ribosomal protein S3A, no bacterial homolog; RPS1B has a paralog, RPS1A, that arose from the whole genome duplication	40S ribosomal protein S3a|40S ribosomal protein S3a (predicted)	Cytoplasmic ribosomal protein of the small subunit RP10B
FOG00073	HOG00049				Uncharacterized paralog	paralog:FOG00072	Uncharacterized		added via ODB8				
FOG00074	HOG00050	RPS3	RPS3		RPS3 Small ribosome protein subunit						Protein component of the small (40S) ribosomal subunit; has apurinic/apyrimidinic (AP) endonuclease activity; essential for viability; homologous to mammalian ribosomal protein S3 and bacterial S3	40S ribosomal protein S3 (predicted)	Ortholog(s) have DNA-(apurinic or apyrimidinic site) lyase activity, structural constituent of ribosome activity and role in rRNA export from nucleus, ribosomal small subunit export from nucleus
FOG00075	HOG00051	RPS4	RPS4A;RPS4B		RPS4 Small ribosome protein subunit						Protein component of the small (40S) ribosomal subunit; mutation affects 20S pre-rRNA processing; homologous to mammalian ribosomal protein S4, no bacterial homolog; RPS4A has a paralog, RPS4B, that arose from the whole genome duplication|Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S4, no bacterial homolog; RPS4B has a paralog, RPS4A, that arose from the whole genome duplication	40S ribosomal protein S4 (predicted)	Ortholog(s) have structural constituent of ribosome activity and 90S preribosome, cytosolic small ribosomal subunit, extracellular region localization
FOG00076	HOG00052	RPS6	RPS6A;RPS6B		RPS6 Small ribosome protein subunit						Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S6, no bacterial homolog; RPS6A has a paralog, RPS6B, that arose from the whole genome duplication|Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S6, no bacterial homolog; RPS6B has a paralog, RPS6A, that arose from the whole genome duplication	40S ribosomal protein S6|40S ribosomal protein S6 (predicted)	Ortholog(s) have structural constituent of ribosome activity and role in maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
FOG00077	HOG00053	RPS5	RPS5		RPS5 Small ribosome protein subunit						Protein component of the small (40S) ribosomal subunit; least basic of non-acidic ribosomal proteins; phosphorylated in vivo; essential for viability; homologous to mammalian ribosomal protein S5 and bacterial S7	40S ribosomal protein S5 (predicted)	Ortholog(s) have structural constituent of ribosome activity, role in rRNA export from nucleus and 90S preribosome, cytosolic small ribosomal subunit, extracellular region, membrane localization
FOG00078	HOG00054	RPS7Small	RPS7A;RPS7B		RPS7Small ribosome protein subunit						Protein component of the small (40S) ribosomal subunit; interacts with Kti11p; deletion causes hypersensitivity to zymocin; homologous to mammalian ribosomal protein S7, no bacterial homolog; RPS7A has a paralog, RPS7B, that arose from the whole genome duplication|Protein component of the small (40S) ribosomal subunit; interacts with Kti11p; deletion causes hypersensitivity to zymocin; homologous to mammalian ribosomal protein S7, no bacterial homolog; RPS7B has a paralog, RPS7A, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress	40S ribosomal protein S7 (predicted)	Ortholog(s) have role in ribosome biogenesis and 90S preribosome, cell surface, cytosol, nucleolus, small-subunit processome localization
FOG00079	HOG00055	RPS8	RPS8A;RPS8B		RPS8 Small ribosome protein subunit						Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S8, no bacterial homolog; RPS8A has a paralog, RPS8B, that arose from the whole genome duplication|Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S8, no bacterial homolog; RPS8B has a paralog, RPS8A, that arose from the whole genome duplication	40S ribosomal protein S8 (predicted)	Ortholog(s) have structural constituent of ribosome activity and role in maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
FOG00080	HOG00056	RPS9	RPS9A;RPS9B		RPS9 Small ribosome protein subunit						Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S9 and bacterial S4; RPS9A has a paralog, RPS9B, that arose from the whole genome duplication|Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S9 and bacterial S4; RPS9B has a paralog, RPS9A, that arose from the whole genome duplication	40S ribosomal protein S9|40S ribosomal protein S9 (predicted)	Cytoplasmic ribosomal protein of the small subunit S9
FOG00081	HOG00057	RPS10	RPS10A;RPS10B		RPS10 Small ribosome protein subunit						Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S10, no bacterial homolog; RPS10A has a paralog, RPS10B, that arose from the whole genome duplication|Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S10, no bacterial homolog; RPS10B has a paralog, RPS10A, that arose from the whole genome duplication	40S ribosomal protein S10 (predicted)	Ortholog(s) have role in rRNA export from nucleus and cell surface, cytosol localization
